,0
0,135080.36337604618
1,161616.6546019875
2,191952.22567232893
3,191470.29729068698
4,188243.45263800316
5,170674.6797914046
6,167811.5193919548
7,161881.2066248548
8,181142.4721494727
9,138667.94468981883
10,178892.196451369
11,112869.32942924353
12,115612.16021668787
13,148091.63596378657
14,120597.98791435578
15,304783.32789705123
16,230377.35389639947
17,254967.0650210649
18,260670.5230153819
19,438267.4825748235
20,287114.81952933286
21,198020.48206180552
22,180605.2757940296
23,164181.8307379792
24,171368.51899557683
25,183881.7658187232
26,314289.3619054978
27,211950.89502584323
28,193893.97238620726
29,241396.65278816255
30,185634.5709409227
31,111510.50651783419
32,167381.74546955404
33,250592.34579972998
34,254144.93943225004
35,230474.52418748935
36,190668.0917654552
37,184543.61407580166
38,171678.8502573804
39,170261.82351258482
40,187645.3991440315
41,158402.81459312877
42,264248.6745707255
43,219505.51902906044
44,218193.0386984033
45,187861.535697685
46,255238.75971047694
47,201374.03212750368
48,152484.67349269782
49,153076.49407572448
50,169314.94357654813
51,179807.38351096658
52,148627.4142439323
53,170442.58774229774
54,192640.1432599891
55,146702.5376125639
56,165764.58676854972
57,153188.51603934643
58,208623.52383451976
59,141904.9953320882
60,149805.85714976006
61,169844.12437222205
62,136249.17539070817
63,130631.10417796906
64,130051.97814790871
65,124744.70240497636
66,127613.85572575283
67,128943.39294813183
68,161837.68492472582
69,189360.74122450087
70,122759.83341732639
71,97343.8451684947
72,146902.9445350722
73,128843.41933908999
74,146842.45325538237
75,114568.40304012095
76,91578.24341139279
77,124795.0911497965
78,158794.0185578898
79,95309.15900423117
80,135147.33791322357
81,153741.94656530127
82,176076.0721666567
83,98843.49302483353
84,113926.00551518724
85,132682.37801032406
86,136924.001525773
87,133076.9056395675
88,127364.51570895781
89,143052.0221004597
90,110773.30480741028
91,151913.86782090174
92,136732.51235517324
93,119544.99147567744
94,176386.27306853424
95,104724.81349976857
96,131565.98210153796
97,110822.8697120708
98,86685.47360123084
99,129357.15500507959
100,157988.61913108273
101,136628.35523226557
102,135105.075228876
103,173027.78295407
104,156179.71008184232
105,226402.3902199362
106,102125.91942281529
107,247677.234139367
108,163567.9438856586
109,133831.24239729674
110,125588.8903490459
111,144751.25260407416
112,237576.91186401187
113,139822.8694358857
114,226816.0104763634
115,215754.20075401387
116,176835.98077264673
117,134580.25017070593
118,162518.45317334094
119,182902.67803598408
120,155791.1883674648
121,131134.75542791048
122,265905.0790241867
123,209614.9355289788
124,146993.23321989249
125,98453.12269222926
126,116445.27904826745
127,161140.49743194476
128,115588.53681340003
129,131573.89884501704
130,111885.8580380451
131,125880.60826079619
132,125532.91775986638
133,164503.80093610263
134,130436.1554521141
135,209585.61830569548
136,217519.84152414126
137,206946.30898495825
138,157918.81871273898
139,153367.374325814
140,96468.71581760586
141,129174.84505480845
142,82301.63193327175
143,248411.454179007
144,209574.47591227115
145,156872.33046575933
146,191298.18827297044
147,197168.46889436015
148,179072.08607105463
149,159912.98004288386
150,143202.99550322525
151,184202.77634904208
152,177684.13525776242
153,128388.4760421115
154,102853.94074099183
155,99818.36125476175
156,106870.36088945874
157,141749.15485141613
158,143620.75937158137
159,179150.79383401904
160,146167.7047188446
161,153682.38080485383
162,229668.46342462217
163,208677.5151308954
164,128138.88687529006
165,167133.12411806764
166,191744.3187456413
167,249468.39774962922
168,167496.25348109496
169,356969.14508487785
170,212664.82631784916
171,233595.8991845076
172,163677.1190285548
173,182997.53354716054
174,169476.59070687025
175,154849.24683064714
176,199448.68089244742
177,170879.78611904776
178,179546.81356703924
179,226000.09115602335
180,182705.64246137816
181,229070.22248255325
182,205262.28500496954
183,224218.78885363147
184,212349.90758942868
185,151400.9639380072
186,156463.41188142254
187,138543.44942031807
188,140992.23173185092
189,127279.39714253583
190,134017.8595990062
191,111648.70585778628
192,111456.716928267
193,152539.96839763722
194,136237.49214027543
195,147664.09709019083
196,154027.38221901195
197,153568.83858592884
198,127927.45055236726
199,158043.7019893214
200,369880.65528108424
201,349263.78369068773
202,321384.6470458023
203,459614.9138519001
204,259184.58056686237
205,286844.52230236476
206,345490.77924782695
207,284198.33240689366
208,254238.124280049
209,291968.3187880234
210,251330.51337784893
211,378809.72109998413
212,251913.79033076484
213,221139.4115515288
214,204328.01440452007
215,202239.42807269955
216,210251.14800154546
217,391228.75662029086
218,350530.8175987237
219,289774.0822915309
220,217763.34568739505
221,278322.55611668044
222,189050.97162509756
223,167302.25875371223
224,171871.65216113007
225,169195.00676413722
226,161392.8664379208
227,180372.76276559997
228,182102.0106176114
229,181141.96038343303
230,171684.70929283413
231,224793.93273122868
232,162958.21563594966
233,178482.32607534082
234,157268.83547898612
235,261330.8681876497
236,156111.4202308147
237,307440.1117697576
238,274298.73263534176
239,240824.3339022141
240,241108.2220431149
241,225618.42033203848
242,213803.100298934
243,247611.03054564827
244,212454.55649821128
245,180565.6111195883
246,206550.87925490702
247,196340.1221551331
248,226129.0661401378
249,206751.1381492765
250,236443.51094428278
251,240803.74406946983
252,260540.1879656136
253,223154.5326920085
254,200351.53343579845
255,172815.68312570217
256,168476.64930516685
257,145353.88084778644
258,200139.08195265447
259,217824.3085890085
260,154547.9858053927
261,135258.30597783736
262,161208.28027736343
263,198589.2616698629
264,227275.46625331588
265,185783.04381729147
266,163986.75980038175
267,159541.99967582375
268,159095.33702426616
269,158817.266368499
270,125032.01257160117
271,137853.8156643712
272,127984.39525976719
273,136936.700028531
274,121507.18703702309
275,116378.33093350833
276,275532.4056074603
277,222872.3886382193
278,253667.27230240402
279,229517.97884568715
280,202641.8767929685
281,182943.52006437717
282,179284.2693548266
283,293911.68841779797
284,208250.65638191893
285,181766.66063776318
286,209970.92425769602
287,220537.5116110807
288,152896.05785865837
289,131148.5185653356
290,224851.32757244585
291,126961.23584388338
292,159204.17141930442
293,186069.65355717842
294,173676.83191434553
295,138751.43052244032
296,127481.53381851332
297,159034.67103593043
298,168572.80648915237
299,162819.72685159874
300,145645.8528687109
301,182901.948860532
